question_no,option,question,letter,type,triad,number,name
1,1,I've been romantic and imaginative.,E,Four,The Feeling Triad,4,THE INDIVIDUALIST
1,2,I've been pragmatic and down-to-earth.,B,Six,The Thinking Triad,6,THE LOYALIST
2,1,I have tended to take on confrontations.,G,Eight,The Instinctive Triad,8,THE CHALLENGER
2,2,I have tended to avoid confrontations.,A,Nine,The Instinctive Triad,9,THE PEACEMAKER
3,1,"I have typically been diplomatic, charming and, ambitious.",C,Three,The Feeling Triad,3,THE ACHIEVER
3,2,"I have typically been direct, formal and, idealistic",D,One,The Instinctive Triad,1,THE REFORMER
4,1,I have tended to be focused and intense.,H,Five,The Thinking Triad,5,THE INVESTIGATOR
4,2,I have tended to be spontaneous and fun-loving.,I,Seven,The Thinking Triad,7,THE ENTHUSIAST
5,1,I have been a hospitable person and have enjoyed welcoming new friends into my life.,F,Two,The Feeling Triad,2,THE HELPER
5,2,I have been a private person and have not mixed much with others.,E,Four,The Feeling Triad,4,THE INDIVIDUALIST
6,1,It's been difficult for me to relax and stop worrying about potential problems.,B,Six,The Thinking Triad,6,THE LOYALIST
6,2,It's been difficult for me to get myself worked up about potential problems.,A,Nine,The Instinctive Triad,9,THE PEACEMAKER
7,1,"I've been more of a ""street-smart"" survivor.",G,Eight,The Instinctive Triad,8,THE CHALLENGER
7,2,"I've been more of a ""high-minded"" idealist.",D,One,The Instinctive Triad,1,THE REFORMER
8,1,I have needed to show affection to people.,F,Two,The Feeling Triad,2,THE HELPER
8,2,I have preffered to maintain some distance with people,H,Five,The Thinking Triad,5,THE INVESTIGATOR
9,1,"When presented with a new experience, I've usually asked myself if it would be useful to me.",C,Three,The Feeling Triad,3,THE ACHIEVER
9,2,"When presented with a new experience, I've usually asked myself if it would be enjoyable.",I,Seven,The Thinking Triad,7,THE ENTHUSIAST
10,1,I have tended to focus too much on myself.,E,Four,The Feeling Triad,4,THE INDIVIDUALIST
10,2,I have tended to focus too much on others.,A,Nine,The Instinctive Triad,9,THE PEACEMAKER
11,1,Others have depended on my insight and knowledge.,H,Five,The Thinking Triad,5,THE INVESTIGATOR
11,2,Others have depended on my strength and decisiveness.,G,Eight,The Instinctive Triad,8,THE CHALLENGER
12,1,I have come across as being too unsure of myself.,B,Six,The Thinking Triad,6,THE LOYALIST
12,2,I have come across as being too sure of myself.,D,One,The Instinctive Triad,1,THE REFORMER
13,1,I have been more relationship-oriented than goal-oriented.,F,Two,The Feeling Triad,2,THE HELPER
13,2,I have been more goal-oriented than relationship-oriented.,C,Three,The Feeling Triad,3,THE ACHIEVER
14,1,I have not been able to speak up for myself very well.,E,Four,The Feeling Triad,4,THE INDIVIDUALIST
14,2,I have been outspoken - I've said what others wished they had the nerve to say.,I,Seven,The Thinking Triad,7,THE ENTHUSIAST
15,1,It's been difficult for me to stop considering alternatives and do something definite.,H,Five,The Thinking Triad,5,THE INVESTIGATOR
15,2,It's been difficult for me to take it easy and be more flexible.,D,One,The Instinctive Triad,1,THE REFORMER
16,1,I have tended to be careful and hesitant.,B,Six,The Thinking Triad,6,THE LOYALIST
16,2,I have tended to be bold and domineering.,G,Eight,The Instinctive Triad,8,THE CHALLENGER
17,1,My reluctance to get too involved has gotten me into trouble with people.,A,Nine,The Instinctive Triad,9,THE PEACEMAKER
17,2,My eagerness to have people depend on me has gotten me into trouble with them.,F,Two,The Feeling Triad,2,THE HELPER
18,1,"Usually, I have been able to put my feelings aside to get the job done.",C,Three,The Feeling Triad,3,THE ACHIEVER
18,2,"Usually, I have needed to work through my feelings before I could act.",E,Four,The Feeling Triad,4,THE INDIVIDUALIST
19,1,"Generally, I've been methodical and cautious.",B,Six,The Thinking Triad,6,THE LOYALIST
19,2,"Generally, I've been adventurous and taken risks.",I,Seven,The Thinking Triad,7,THE ENTHUSIAST
20,1,"I have tended to be a supportive, giving person who seeks intimacy with others.",F,Two,The Feeling Triad,2,THE HELPER
20,2,"I have tended to be a serious, reserved person who likes discussin issues.",D,One,The Instinctive Triad,1,THE REFORMER
21,1,"I've often felt the need to be a ""pillar of strenght"".",G,Eight,The Instinctive Triad,8,THE CHALLENGER
21,2,I've often felt the need to perform perfectly.,C,Three,The Feeling Triad,3,THE ACHIEVER
22,1,I've typically been interested in asking tough questions and maintaining my independence.,H,Five,The Thinking Triad,5,THE INVESTIGATOR
22,2,I've typically been interested in maintaining my stability and peace of mind.,A,Nine,The Instinctive Triad,9,THE PEACEMAKER
23,1,I've been a bit cynical and skeptical.,B,Six,The Thinking Triad,6,THE LOYALIST
23,2,I've been a bit mushy and sentimental.,F,Two,The Feeling Triad,2,THE HELPER
24,1,I've often worried that I'm missing out on something better.,I,Seven,The Thinking Triad,7,THE ENTHUSIAST
24,2,"I've often worried that if I let down my guard, someone will take advantage of me.",G,Eight,The Instinctive Triad,8,THE CHALLENGER
25,1,"My habit of being ""stand-offish"" has annoyed people.",E,Four,The Feeling Triad,4,THE INDIVIDUALIST
25,2,My habit of telling people what to do has annoyed people.,D,One,The Instinctive Triad,1,THE REFORMER
26,1,I have tended to get anxious if there was too much excitement and stimulation.,A,Nine,The Instinctive Triad,9,THE PEACEMAKER
26,2,I have tended to get anxious if there wasn't enough excitement and stimulation.,I,Seven,The Thinking Triad,7,THE ENTHUSIAST
27,1,I have depended on my friends and they have known that they can depend on me.,B,Six,The Thinking Triad,6,THE LOYALIST
27,2,I have not depended on people; I have done things on my own.,C,Three,The Feeling Triad,3,THE ACHIEVER
28,1,I have tended to be detached and preoccupied.,H,Five,The Thinking Triad,5,THE INVESTIGATOR
28,2,I have tended to be moody and self-absorbed.,E,Four,The Feeling Triad,4,THE INDIVIDUALIST
29,1,"I have liked to challenge people and ""shake them up"".",G,Eight,The Instinctive Triad,8,THE CHALLENGER
29,2,I have liked to comfort people and calm them down.,F,Two,The Feeling Triad,2,THE HELPER
30,1,"I have generally been an outgoing, sociable person.",I,Seven,The Thinking Triad,7,THE ENTHUSIAST
30,2,"I have generally been an earnest, self-disciplined person.",D,One,The Instinctive Triad,1,THE REFORMER
31,1,"I've wanted to ""fit in"" with others - I get uncomfortable when I stand out too much.",A,Nine,The Instinctive Triad,9,THE PEACEMAKER
